date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:41:27	760/760	---M-Z	200	added ('OK')	text/html	date:Mon,%2025%20Sep%202017%2009:36:26%20GMT	http://dash-goldman.apps.pcfdemo.net/robots.txt		(from )
03:41:27	2002/2002	---M-Z	200	added ('OK')	text/html	date:Mon,%2025%20Sep%202017%2009:36:27%20GMT	http://dash-goldman.apps.pcfdemo.net/	dash-goldman.apps.pcfdemo.net/index.html	(from )
03:41:28	2321/2321	---MCZ	200	added ('OK')	text/css	date:Tue,%2002%20May%202017%2019:03:43%20GMT	https://cdnjs.cloudflare.com/ajax/libs/normalize/7.0.0/normalize.min.css	cdnjs.cloudflare.com/ajax/libs/normalize/7.0.0/normalize.min.css	(from http://dash-goldman.apps.pcfdemo.net/)
03:41:28	5879/5879	---MCZ	200	added ('OK')	text/css	date:Wed,%2022%20Jun%202016%2020:08:18%20GMT	https://cdnjs.cloudflare.com/ajax/libs/skeleton/2.0.4/skeleton.min.css	cdnjs.cloudflare.com/ajax/libs/skeleton/2.0.4/skeleton.min.css	(from http://dash-goldman.apps.pcfdemo.net/)
03:41:29	731/731	---MC-	200	added ('OK')	text/css	date:Mon,%2025%20Sep%202017%2009:36:28%20GMT	http://fonts.googleapis.com/css?family=Raleway:400,300,600	fonts.googleapis.com/css4874.css	(from http://dash-goldman.apps.pcfdemo.net/)
03:41:30	2032/2032	---MCZ	200	added ('OK')	text/css	etag:W/%227b008a44cfd2351d3907df9faf7e5d50831e6bcc%22	https://cdn.rawgit.com/plotly/dash-app-stylesheets/5047eb29e4afe01b45b27b1d2f7deda2a942311a/goldman-sachs-report.css	cdn.rawgit.com/plotly/dash-app-stylesheets/5047eb29e4afe01b45b27b1d2f7deda2a942311a/goldman-sachs-report.css	(from http://dash-goldman.apps.pcfdemo.net/)
03:41:31	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from http://dash-goldman.apps.pcfdemo.net/)
03:41:32	21203/21203	---MCZ	200	added ('OK')	application/javascript	etag:W/%2252d3-15975598858%22	https://unpkg.com/react@15.4.2/dist/react.min.js	unpkg.com/react@15.4.2/dist/react.min.js	(from http://dash-goldman.apps.pcfdemo.net/)
03:41:32	123889/123889	---MCZ	200	added ('OK')	application/javascript	etag:W/%221e3f1-15975598c40%22	https://unpkg.com/react-dom@15.4.2/dist/react-dom.min.js	unpkg.com/react-dom@15.4.2/dist/react-dom.min.js	(from http://dash-goldman.apps.pcfdemo.net/)
03:41:32	140335/140335	---MCZ	200	added ('OK')	application/javascript	etag:W/%222242f-15c7f5c6e58%22	https://unpkg.com/dash-html-components@0.6.0/dash_html_components/bundle.js	unpkg.com/dash-html-components@0.6.0/dash_html_components/bundle.js	(from http://dash-goldman.apps.pcfdemo.net/)
03:41:33	86659/86659	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258d026fb-15283%22	https://code.jquery.com/jquery-3.2.1.min.js	code.jquery.com/jquery-3.2.1.min.js	(from http://dash-goldman.apps.pcfdemo.net/)
03:41:35	135/135	---MCZ	200	added ('OK')	application/javascript	etag:W/%2297d81891c18de733be2d26e4c013d8812ca4680c%22	https://cdn.rawgit.com/plotly/dash-app-stylesheets/a3401de132a6d0b652ba11548736b1d1e80aa10d/dash-goldman-sachs-report-js.js	cdn.rawgit.com/plotly/dash-app-stylesheets/a3401de132a6d0b652ba11548736b1d1e80aa10d/dash-goldman-sachs-report-js.js	(from http://dash-goldman.apps.pcfdemo.net/)
03:41:35	51/51	---MCZ	200	added ('OK')	text/plain	date:Mon,%2025%20Sep%202017%2009:36:34%20GMT	http://fonts.googleapis.com/robots.txt		(from http://dash-goldman.apps.pcfdemo.net/)
03:41:39	54436/54436	---M-Z	200	added ('OK')	font/ttf	date:Thu,%2019%20May%202016%2023:55:27%20GMT	http://fonts.gstatic.com/s/raleway/v11/-_Ctzj9b56b8RgXW8FAriS3USBnSvpkopQaUR-2r7iU.ttf	fonts.gstatic.com/s/raleway/v11/-_Ctzj9b56b8RgXW8FAriS3USBnSvpkopQaUR-2r7iU.ttf	(from http://fonts.googleapis.com/css?family=Raleway:400,300,600)
03:41:39	52980/52980	---M-Z	200	added ('OK')	font/ttf	date:Thu,%2019%20May%202016%2023:52:53%20GMT	http://fonts.gstatic.com/s/raleway/v11/bIcY3_3JNqUVRAQQRNVteQ.ttf	fonts.gstatic.com/s/raleway/v11/bIcY3_3JNqUVRAQQRNVteQ.ttf	(from http://fonts.googleapis.com/css?family=Raleway:400,300,600)
03:41:40	53272/53272	---M-Z	200	added ('OK')	font/ttf	date:Thu,%2019%20May%202016%2023:54:51%20GMT	http://fonts.gstatic.com/s/raleway/v11/xkvoNo9fC8O2RDydKj12by3USBnSvpkopQaUR-2r7iU.ttf	fonts.gstatic.com/s/raleway/v11/xkvoNo9fC8O2RDydKj12by3USBnSvpkopQaUR-2r7iU.ttf	(from http://fonts.googleapis.com/css?family=Raleway:400,300,600)
03:41:40	289496/289496	---MCZ	200	added ('OK')	application/javascript	etag:W/%2246ad8-15cc1972498%22	https://unpkg.com/dash-renderer@0.7.2/dash_renderer/bundle.js	unpkg.com/dash-renderer@0.7.2/dash_renderer/bundle.js	(from http://dash-goldman.apps.pcfdemo.net/)
03:41:40	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22674f50d287a8c48dc19ba404d20fe713%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/fonts/fontawesome-webfont.eot?v=4.7.0	maxcdn.bootstrapcdn.com/font-awesome/4.7.0/fonts/fontawesome-webfont3e6e.eot	(from https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css)
03:41:41	77160/77160	---M--	200	added ('OK')	application/font-woff2	etag:%22af7ae505a9eed503f8b8e6982036873e%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/fonts/fontawesome-webfont.woff2?v=4.7.0	maxcdn.bootstrapcdn.com/font-awesome/4.7.0/fonts/fontawesome-webfont3e6e.woff2	(from https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css)
03:41:41	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22674f50d287a8c48dc19ba404d20fe713%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/fonts/fontawesome-webfont.eot?	maxcdn.bootstrapcdn.com/font-awesome/4.7.0/fonts/fontawesome-webfontd41d.eot	(from https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css)
03:41:42	98024/98024	---M--	200	added ('OK')	application/font-woff	etag:%22fee66e712a8a08eef5805a46892932ad%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/fonts/fontawesome-webfont.woff?v=4.7.0	maxcdn.bootstrapcdn.com/font-awesome/4.7.0/fonts/fontawesome-webfont3e6e.woff	(from https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css)
03:41:45	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2025%20Sep%202017%2009:36:42%20GMT	http://fonts.gstatic.com/robots.txt		(from http://fonts.googleapis.com/css?family=Raleway:400,300,600)
03:41:45	165548/165548	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%22b06871f281fee6b241d60582ae9369b9%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/fonts/fontawesome-webfont.ttf?v=4.7.0	maxcdn.bootstrapcdn.com/font-awesome/4.7.0/fonts/fontawesome-webfont3e6e.ttf	(from https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css)
03:41:45	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22912ec66d7572ff821749319396470bde%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/fonts/fontawesome-webfont.svg?v=4.7.0	maxcdn.bootstrapcdn.com/font-awesome/4.7.0/fonts/fontawesome-webfont3e6e.svg	(from https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css)
03:41:45	210/210	---MCZ	403	error ('Forbidden')	application/xml	date:Mon,%2025%20Sep%202017%2009:36:44%20GMT	https://maxcdn.bootstrapcdn.com/robots.txt		(from https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css)
